model,_micro_f1,_micro_k,MAP,MRR,R-Precision,n_queries,P@5,R@5,F1@5,NDCG@5,MAP@5,MicroF1@5,P@6,R@6,F1@6,NDCG@6,MAP@6,MicroF1@6,P@7,R@7,F1@7,NDCG@7,MAP@7,MicroF1@7,P@8,R@8,F1@8,NDCG@8,MAP@8,MicroF1@8,P@9,R@9,F1@9,NDCG@9,MAP@9,MicroF1@9,P@10,R@10,F1@10,NDCG@10,MAP@10,MicroF1@10,P@11,R@11,F1@11,NDCG@11,MAP@11,MicroF1@11,P@15,R@15,F1@15,NDCG@15,MAP@15,MicroF1@15,P@20,R@20,F1@20,NDCG@20,MAP@20,MicroF1@20
F-B3: Boost Prec+Ratio ×5  n=5  scheme=binary,44.4012,8,59.2918,79.0785,54.7174,234,51.5385,50.6812,42.4682,68.3841,60.7216,41.5575,48.433,54.9092,42.9911,68.4001,60.0077,43.3535,45.2991,57.8483,42.5187,68.2043,59.1573,44.0095,42.6816,61.0901,42.1052,68.2168,58.487,44.3027,40.1235,63.3962,41.3328,68.0044,57.7423,43.9875,38.2906,65.3292,40.7814,68.2049,57.6336,43.9539,36.014,66.8235,39.6193,68.174,57.2822,42.9963,29.1453,70.0537,35.2871,68.3524,56.9529,38.9566,23.9744,73.148,31.373,69.2741,57.5023,34.9152
F-B3: Boost Prec+Ratio ×5  n=9  scheme=augmented,44.4012,8,58.053,78.0466,53.5731,234,50.7692,50.2093,41.8788,67.0924,59.0553,40.9373,47.792,54.143,42.2985,67.124,58.4217,42.7797,44.9328,57.3385,42.1854,67.0851,57.6106,43.6536,42.6816,61.1648,42.0947,67.4327,57.2752,44.3027,39.981,62.7694,41.0412,66.9755,56.4312,43.8313,37.9915,64.7337,40.4134,67.1197,56.2898,43.6105,35.6255,65.7096,39.1239,66.915,55.8566,42.5325,29.1168,69.8353,35.2123,67.4554,55.7458,38.9185,24.0598,73.2622,31.4494,68.495,56.3286,35.0397
F-B8: Boost Arg+Prec+Ratio ×2  n=9  scheme=binary,44.4012,8,58.5699,78.4722,54.2286,234,51.1966,50.3612,42.191,67.5971,59.7219,41.2819,47.8632,54.1304,42.3824,67.4177,58.8109,42.8435,45.2991,57.689,42.5318,67.623,58.3061,44.0095,42.6816,61.0685,42.1752,67.694,57.6395,44.3027,40.1709,62.9568,41.3417,67.3944,56.964,44.0396,38.1624,65.153,40.6724,67.5994,56.8255,43.8067,36.014,66.6961,39.6235,67.6344,56.5758,42.9963,29.2023,70.2163,35.3724,67.9452,56.3202,39.0327,23.9744,73.2004,31.3863,68.8128,56.7855,34.9152
A6: Argument + Precedent + Ratio,44.3715,7,55.946,77.4505,51.9774,232,52.2414,49.7771,42.6632,66.8819,58.8614,41.9377,48.4914,53.0604,42.4842,66.4011,57.7158,43.2277,45.7512,56.3976,42.5428,66.4507,57.1331,44.2789,42.403,58.6013,41.6007,65.8509,55.8647,43.8562,39.9425,60.3661,40.807,65.488,55.0291,43.6421,37.6293,61.8323,39.8135,65.322,54.5318,43.058,35.4624,63.735,38.8675,65.4107,54.2376,42.2108,29.0805,68.5618,35.2277,66.182,54.1594,38.7739,23.7069,71.6328,31.0659,66.9478,54.4806,34.4558
E: Fact+Arg+Prec+Ratio  n=2  scheme=augmented,44.1789,8,58.1664,79.4786,54.1684,234,51.5385,50.7937,42.588,68.2393,60.196,41.5575,47.9345,54.6852,42.6554,67.9363,59.1466,42.9072,45.2381,58.5024,42.6975,68.1818,58.7568,43.9502,42.4679,60.6409,41.9235,67.8856,57.9568,44.081,39.7911,62.7789,40.9679,67.5558,57.0791,43.6231,37.5214,64.1521,39.9517,67.4048,56.67,43.0709,35.5866,66.0131,39.2073,67.6033,56.4929,42.4861,28.7464,69.0676,34.8605,67.7216,56.0465,38.4235,23.5684,73.3076,30.9531,68.8384,56.4793,34.3239
F-B3: Boost Prec+Ratio ×5  n=2  scheme=augmented,44.1789,8,58.9325,79.6557,55.0025,234,51.453,51.3323,42.6012,68.7016,60.7762,41.4886,48.1481,55.3247,42.9034,68.5858,59.8771,43.0985,45.2381,58.5047,42.7382,68.5509,59.3235,43.9502,42.4679,61.3486,42.1688,68.4226,58.5927,44.081,39.9335,63.008,41.2107,68.0526,57.846,43.7793,38.0769,65.3341,40.7222,68.3338,57.6966,43.7086,35.9363,66.9858,39.6587,68.4016,57.4296,42.9035,29.0313,70.1169,35.2408,68.5549,56.9928,38.8043,23.3761,72.5441,30.7542,69.0516,57.1154,34.0439
F-B3: Boost Prec+Ratio ×5  n=8  scheme=binary,44.1789,8,58.1811,78.2116,53.3043,234,50.9402,50.3525,42.0134,67.3779,59.3323,41.0751,47.792,54.1975,42.3429,67.2907,58.6428,42.7797,44.9328,57.3645,42.2041,67.244,57.9031,43.6536,42.4679,60.5981,41.8543,67.3489,57.3126,44.081,39.886,62.385,40.9268,66.9881,56.5685,43.7272,37.9487,64.6524,40.3465,67.2219,56.4627,43.5614,35.8197,66.0159,39.3594,67.2145,56.1976,42.7644,29.0598,69.8648,35.1655,67.5856,55.9487,38.8423,23.8889,72.7781,31.2505,68.4354,56.4185,34.7907
F-B3: Boost Prec+Ratio ×5  n=9  scheme=binary,44.1789,8,58.0343,78.1783,53.3913,234,50.6838,50.2334,41.8527,67.1869,59.1309,40.8684,47.4359,53.7069,41.9528,66.9688,58.3259,42.4609,44.8718,57.321,42.1555,67.1566,57.7535,43.5943,42.4679,60.6262,41.8706,67.305,57.2388,44.081,39.8386,62.221,40.854,66.8726,56.4374,43.6752,37.735,64.3459,40.1189,66.9965,56.2015,43.3162,35.6643,65.7758,39.1712,67.0373,56.0079,42.5788,29.0313,69.6923,35.1239,67.4662,55.8308,38.8043,23.7393,72.4094,31.0395,68.2018,56.187,34.5729
F-B3: Boost Prec+Ratio ×5  n=10  scheme=augmented,44.1234,8,57.8875,77.8055,53.3158,234,50.6838,50.0531,41.7339,66.968,58.9734,40.8684,47.5783,53.8238,42.0708,66.8733,58.2089,42.5885,44.8107,57.293,42.11,66.9347,57.4745,43.535,42.4145,60.8793,41.8246,67.1725,57.0115,44.0255,39.886,62.6545,40.9518,66.8224,56.2871,43.7272,37.906,64.5683,40.2987,66.9618,56.117,43.5124,35.5089,65.5866,39.0049,66.7584,55.6882,42.3933,29.0883,69.7053,35.1582,67.3213,55.6273,38.8804,23.9103,72.9322,31.2707,68.2523,56.0782,34.8218
E: Fact+Arg+Prec+Ratio  n=3  scheme=log,44.101,7,58.9879,79.153,55.002,234,51.8803,50.8095,42.6407,68.729,61.1764,41.8332,48.433,54.3547,42.7156,68.4675,60.1859,43.3535,45.2991,57.8957,42.5306,68.3988,59.3988,44.0095,42.2543,60.1378,41.6969,67.9841,58.3766,43.8592,39.9335,62.2154,41.0115,67.7971,57.6547,43.7793,37.7778,64.8047,40.3134,68.0138,57.3756,43.3652,35.4701,65.9678,39.0976,67.8865,56.9749,42.3469,29.2308,70.1203,35.3768,68.557,57.024,39.0708,23.6538,72.9898,31.0413,69.1998,57.2447,34.4484
A0: Baseline — original docs (no RR),44.0908,9,59.0602,79.6009,54.7933,234,52.0513,51.2534,42.9189,68.8215,61.0467,41.9711,48.433,54.6776,42.8733,68.4164,59.909,43.3535,45.0549,57.9597,42.4296,68.1801,58.9451,43.7722,42.1474,60.857,41.751,67.9711,58.0176,43.7483,40.1235,63.3302,41.3693,68.0131,57.5753,43.9875,38.1624,65.977,40.7643,68.3604,57.4723,43.8067,36.1305,67.2394,39.7769,68.3704,57.2083,43.1354,29.3162,70.8011,35.5648,68.6769,56.9095,39.1851,23.8675,73.5169,31.3313,69.3814,57.262,34.7596
A1: All roles (full RR doc),44.0908,9,59.0602,79.6009,54.7933,234,52.0513,51.2534,42.9189,68.8215,61.0467,41.9711,48.433,54.6776,42.8733,68.4164,59.909,43.3535,45.0549,57.9597,42.4296,68.1801,58.9451,43.7722,42.1474,60.857,41.751,67.9711,58.0176,43.7483,40.1235,63.3302,41.3693,68.0131,57.5753,43.9875,38.1624,65.977,40.7643,68.3604,57.4723,43.8067,36.1305,67.2394,39.7769,68.3704,57.2083,43.1354,29.3162,70.8011,35.5648,68.6769,56.9095,39.1851,23.8675,73.5169,31.3313,69.3814,57.262,34.7596
"A2: All roles, label prefix stripped",44.0908,9,59.0602,79.6009,54.7933,234,52.0513,51.2534,42.9189,68.8215,61.0467,41.9711,48.433,54.6776,42.8733,68.4164,59.909,43.3535,45.0549,57.9597,42.4296,68.1801,58.9451,43.7722,42.1474,60.857,41.751,67.9711,58.0176,43.7483,40.1235,63.3302,41.3693,68.0131,57.5753,43.9875,38.1624,65.977,40.7643,68.3604,57.4723,43.8067,36.1305,67.2394,39.7769,68.3704,57.2083,43.1354,29.3162,70.8011,35.5648,68.6769,56.9095,39.1851,23.8675,73.5169,31.3313,69.3814,57.262,34.7596
F-B3: Boost Prec+Ratio ×5  n=2  scheme=log,44.0678,8,57.8527,79.0151,54.002,234,51.7949,51.6961,42.9612,68.3843,60.1712,41.7643,48.5043,55.0904,43.0164,68.1514,59.1641,43.4173,45.2381,58.0303,42.6078,67.88,58.3912,43.9502,42.3611,60.136,41.8279,67.499,57.5576,43.9701,39.8386,62.0387,41.0174,67.169,56.7897,43.6752,37.4786,64.036,40.0322,67.154,56.3501,43.0218,35.4701,65.9392,39.0961,67.3335,56.1115,42.3469,28.604,69.8912,34.799,67.6377,55.6593,38.2331,23.2906,72.7904,30.6503,68.3895,56.0295,33.9194
A10: All except RulingByLowerCourt,44.0122,8,58.6971,79.734,54.0209,234,51.5385,50.8711,42.5342,68.4175,60.58,41.5575,48.0769,54.4788,42.5738,68.1544,59.6254,43.0347,44.8718,57.815,42.2405,68.0143,58.7006,43.5943,42.3077,60.3273,41.7507,67.886,57.9836,43.9146,40.0285,62.7358,41.0969,67.8065,57.3414,43.8834,37.8205,64.9066,40.2884,67.8819,57.0253,43.4143,35.5478,66.0439,39.0994,67.7504,56.6374,42.4397,29.0598,69.7324,35.2091,68.1821,56.4428,38.8423,23.6538,72.7991,31.0713,68.9681,56.789,34.4484
"B9: Downweight RulingByLower (keep others ×1, lower ×0 skip)",44.0122,8,58.6971,79.734,54.0209,234,51.5385,50.8711,42.5342,68.4175,60.58,41.5575,48.0769,54.4788,42.5738,68.1544,59.6254,43.0347,44.8718,57.815,42.2405,68.0143,58.7006,43.5943,42.3077,60.3273,41.7507,67.886,57.9836,43.9146,40.0285,62.7358,41.0969,67.8065,57.3414,43.8834,37.8205,64.9066,40.2884,67.8819,57.0253,43.4143,35.5478,66.0439,39.0994,67.7504,56.6374,42.4397,29.0598,69.7324,35.2091,68.1821,56.4428,38.8423,23.6538,72.7991,31.0713,68.9681,56.789,34.4484
F-B8: Boost Arg+Prec+Ratio ×2  n=2  scheme=augmented,43.9567,8,58.5562,78.9889,54.6334,234,51.453,51.3291,42.598,68.4158,60.4476,41.4886,47.8632,54.8444,42.5307,68.0648,59.2931,42.8435,45.0549,58.2066,42.5053,68.102,58.8034,43.7722,42.2543,61.2745,42.0114,68.0104,58.0836,43.8592,39.886,63.423,41.2305,67.8266,57.4367,43.7272,38.0769,65.7896,40.7343,68.1546,57.3355,43.7086,35.9751,67.0957,39.7165,68.1505,57.0619,42.9499,28.9744,70.0427,35.1776,68.2204,56.5779,38.7281,23.3761,72.5273,30.752,68.7516,56.7282,34.0439
E: Fact+Arg+Prec+Ratio  n=2  scheme=binary,43.7899,8,57.4912,78.9768,53.8327,234,51.1111,49.7611,42.1286,67.484,59.6409,41.213,47.5783,54.072,42.3743,67.3114,58.5918,42.5885,44.9328,57.5829,42.2758,67.5165,58.1412,43.6536,42.094,59.9492,41.5552,67.2374,57.3012,43.6928,39.3637,61.9872,40.5284,66.8573,56.4061,43.1546,37.3077,63.6525,39.747,66.8599,56.1086,42.8256,35.1981,65.0814,38.752,66.8698,55.8019,42.0223,28.4615,68.7795,34.4936,67.1482,55.374,38.0427,23.3333,72.3425,30.6253,68.1248,55.7859,33.9816
F-B3: Boost Prec+Ratio ×5  n=10  scheme=binary,43.7777,9,57.5112,77.4839,52.7909,234,50.5128,49.7519,41.5454,66.6707,58.7076,40.7305,47.151,53.1431,41.5689,66.3797,57.7231,42.2059,44.3834,56.8751,41.7189,66.4796,57.0058,43.1198,41.9872,59.8332,41.4108,66.5369,56.4736,43.5819,39.8386,62.2089,40.8578,66.5145,55.99,43.6752,37.8205,64.7797,40.2265,66.7919,55.8095,43.4143,35.3924,65.7804,38.895,66.5788,55.3723,42.2542,28.9459,69.4316,34.9895,67.012,55.2643,38.69,23.6538,72.2688,30.9375,67.7774,55.6495,34.4484
F-B8: Boost Arg+Prec+Ratio ×2  n=2  scheme=binary,43.6788,8,57.8231,78.637,53.563,234,51.1966,50.7142,42.2747,67.8117,59.7328,41.2819,47.5783,54.6078,42.3109,67.5146,58.7098,42.5885,44.3223,57.2879,41.7755,67.1774,57.9114,43.0605,41.9872,60.3098,41.5947,67.2689,57.3422,43.5819,39.6486,63.2282,41.0045,67.2891,56.7392,43.4669,37.735,65.3974,40.4066,67.5061,56.5946,43.3162,35.7032,66.745,39.4439,67.5449,56.3066,42.6252,28.7749,69.8234,34.9708,67.6758,55.9041,38.4615,23.1838,72.183,30.5109,68.1617,56.0206,33.7638
F-B3: Boost Prec+Ratio ×5  n=2  scheme=binary,43.5677,8,57.9675,78.913,54.1652,234,51.0256,50.529,42.1109,67.8523,59.8069,41.144,47.4359,54.1449,42.1414,67.4807,58.7693,42.4609,44.3834,57.4304,41.8609,67.3968,58.106,43.1198,41.8803,60.0818,41.4512,67.3167,57.432,43.471,39.5062,62.7192,40.8313,67.2523,56.7937,43.3108,37.8205,65.4304,40.4693,67.698,56.8184,43.4143,35.5866,66.5605,39.3043,67.5943,56.4154,42.4861,28.7464,69.753,34.9275,67.7797,56.0395,38.4235,23.2479,72.2932,30.5866,68.3536,56.1977,33.8572
A5: Fact + Precedent + Ratio,43.4009,8,55.879,77.6515,51.5984,234,50.3419,49.2108,41.3504,66.089,57.8387,40.5927,47.151,52.8408,41.5652,65.9482,56.9367,42.2059,44.1392,56.0151,41.308,65.802,56.1204,42.8826,41.7201,58.429,40.8938,65.6861,55.5261,43.3047,38.9839,60.0845,39.8685,65.1761,54.5573,42.7382,36.8803,62.1887,39.0948,65.2735,54.232,42.3351,34.8873,64.1816,38.2754,65.4664,54.0522,41.6512,28.4615,67.725,34.371,65.8283,53.8619,38.0427,23.141,70.8726,30.2742,66.5777,54.1015,33.7016
C1: Label role term ×3 for Precedent+Ratio,43.3454,8,57.7857,78.2975,53.3607,234,51.453,50.7356,42.3637,67.8788,60.156,41.4886,47.4359,54.1175,42.1226,67.2626,58.765,42.4609,43.8339,56.8255,41.3207,66.7783,57.4922,42.586,41.6667,60.0081,41.2658,66.9417,57.1001,43.2492,39.3162,62.0425,40.5196,66.7335,56.4248,43.1026,37.4359,64.4119,39.9729,66.9964,56.25,42.9728,35.3147,65.8706,38.916,67.0279,55.977,42.1614,28.6895,70.0919,34.8613,67.5119,55.6719,38.3473,23.2906,72.661,30.6277,68.1353,55.9142,33.9194
C2: Label role term ×5 for Precedent+Ratio,43.3454,8,57.8187,78.303,53.3607,234,51.5385,50.7745,42.4171,67.9412,60.2543,41.5575,47.4359,54.1175,42.1226,67.2722,58.7875,42.4609,43.895,56.8789,41.3777,66.8262,57.5552,42.6453,41.6667,60.0081,41.2658,66.9517,57.1218,43.2492,39.3162,62.0425,40.5196,66.7429,56.4446,43.1026,37.5214,64.4689,40.0413,67.06,56.3374,43.0709,35.3535,65.8991,38.9488,67.0634,56.0257,42.2078,28.7179,70.1393,34.897,67.5563,55.7296,38.3854,23.2906,72.661,30.6277,68.155,55.9481,33.9194
C3: Label role term ×10 for Precedent+Ratio,43.2038,9,57.7763,78.2424,53.3418,234,51.6239,50.7982,42.4542,67.9576,60.2899,41.6265,47.4359,54.1175,42.1226,67.2365,58.7495,42.4609,43.8339,56.8179,41.3166,66.7509,57.5068,42.586,41.5064,59.8369,41.1028,66.8013,56.9643,43.0829,39.3162,62.0425,40.5196,66.6992,56.3893,43.1026,37.5214,64.4689,40.0413,67.0161,56.2818,43.0709,35.4312,66.3799,39.0651,67.1689,56.0378,42.3006,28.7179,70.1393,34.897,67.5184,55.6809,38.3854,23.2906,72.661,30.6277,68.1178,55.901,33.9194
C5: Label role term ×3 for Fact+Prec+Ratio,43.0784,10,57.0742,78.1356,52.3562,234,50.6838,49.9834,41.7109,66.9599,58.9535,40.8684,47.151,53.8632,41.824,66.6894,57.9,42.2059,43.895,57.2596,41.4657,66.5367,56.8889,42.6453,41.3462,59.6922,40.9705,66.3574,56.2269,42.9166,39.0788,61.8395,40.3164,66.2134,55.7158,42.8423,37.4359,64.601,40.0231,66.6778,55.6694,42.9728,35.1593,65.5524,38.7068,66.5175,55.2428,41.9759,28.49,69.6834,34.6061,66.9616,54.9656,38.0807,23.0983,72.2812,30.397,67.5781,55.1978,33.6393
C4: Label role term ×5 for all roles,42.7342,10,56.6731,77.8841,52.2448,234,50.2564,49.7428,41.4059,66.4892,58.4396,40.5238,47.0085,53.8758,41.7714,66.4156,57.4633,42.0784,43.8339,57.1176,41.3549,66.2795,56.5782,42.586,40.9722,59.3255,40.6113,65.8992,55.7442,42.5284,38.8889,61.9608,40.164,65.9427,55.2242,42.634,37.1368,64.3821,39.7591,66.2713,55.1201,42.6294,34.965,65.2879,38.5176,66.1466,54.7744,41.744,28.3761,69.5884,34.5023,66.6624,54.5521,37.9284,22.9487,71.893,30.1882,67.1729,54.7307,33.4215
E: Fact+Arg+Prec+Ratio  n=2  scheme=log,42.5674,8,57.0499,79.3116,52.7233,234,50.4274,49.8372,41.5222,67.2963,59.1137,40.6616,46.9373,53.2768,41.5404,66.9356,58.0598,42.0147,43.7118,56.2051,41.1814,66.6339,57.2118,42.4674,40.9188,58.2271,40.4008,66.2474,56.3026,42.473,38.5565,61.062,39.8202,66.2326,55.5764,42.2697,36.0684,63.3152,38.7352,66.1986,55.0508,41.403,34.0715,64.5254,37.7297,66.1878,54.7807,40.6772,28.3191,69.5436,34.4732,67.2354,55.0331,37.8522,22.9487,71.9984,30.2332,67.8268,55.2364,33.4215
A4: Precedent + RatioOfTheDecision,42.0424,7,52.0018,75.8338,48.3855,232,49.4828,46.0421,40.0638,63.3835,55.0212,39.792,46.1925,49.8751,40.3468,63.1428,53.9058,41.2576,43.3498,52.6076,40.1095,62.9357,53.1192,42.0424,40.194,54.1887,39.0554,62.2231,51.9236,41.6643,37.7874,56.4918,38.3959,61.9761,51.1275,41.3847,35.6034,58.6537,37.6284,61.9894,50.6337,40.8405,33.4639,59.8465,36.5674,61.8646,50.2254,39.9345,27.4425,64.5528,33.0683,62.5709,50.0651,36.6955,22.4138,68.3478,29.3646,63.5239,50.4124,32.6787
A9: Statute + Precedent + Ratio,41.3847,9,51.7088,76.2347,47.7698,232,48.4483,45.4576,39.2982,62.6121,53.861,38.9601,45.4023,49.8184,39.869,62.6158,53.0047,40.5518,42.0567,52.0497,39.1456,62.0517,51.8209,40.7883,39.8168,54.6096,38.888,62.0047,51.1873,41.2734,37.7874,56.7454,38.4634,61.8898,50.6727,41.3847,35.6034,58.5815,37.6191,61.8306,50.2604,40.8405,33.5815,60.365,36.7322,61.9108,49.992,40.0748,27.3276,64.1873,32.9981,62.3135,49.6669,36.5418,22.3707,68.6295,29.3844,63.4333,50.0535,32.6159
A11: Fact + Argument + Ratio (no Precedent),40.626,6,53.1217,76.7273,48.9354,234,48.3761,48.3379,39.8851,64.0867,55.4612,39.0076,45.2991,51.9279,40.1196,63.9302,54.4396,40.5483,41.6972,53.6059,39.0036,63.1249,53.1066,40.5101,38.8889,56.1933,38.3767,62.8168,52.1091,40.366,36.5622,58.2465,37.6104,62.5549,51.3556,40.0833,34.6154,60.0017,36.8546,62.5882,51.023,39.7351,32.7117,61.4303,36.0294,62.6213,50.7837,39.0538,27.037,66.2522,32.8823,63.4802,50.8152,36.1386,22.0513,69.2935,29.0487,64.264,51.1383,32.1145
A12: Fact + Argument + Ratio + Judgment,40.5349,7,53.2746,76.743,49.6368,234,48.2906,47.8207,39.6597,64.0505,55.5862,38.9387,45.0855,51.5182,39.9466,63.824,54.4746,40.357,41.6361,53.7562,39.0634,63.2169,53.2476,40.4508,38.8355,56.1065,38.3144,62.8714,52.2716,40.3105,36.6572,58.1937,37.6622,62.671,51.58,40.1874,34.5726,59.9356,36.8057,62.6497,51.1868,39.686,32.5952,61.3086,35.918,62.6371,50.9039,38.9147,27.0085,66.1889,32.8568,63.5436,50.9681,36.1005,22.0085,69.2687,29.0035,64.3313,51.2609,32.0523
A7: RatioOfTheDecision only,37.2748,8,45.1712,72.4261,43.1966,229,44.5415,40.1901,35.3834,57.1989,48.4535,35.6021,41.1936,43.3405,35.4317,56.6109,46.8002,36.5869,38.4279,45.5294,35.0993,56.1612,45.7369,37.0749,36.1354,47.9791,34.8331,55.943,44.8927,37.2748,33.7215,49.4901,33.9025,55.4318,43.9691,36.7628,31.8777,52.0242,33.4505,55.5939,43.6312,36.409,30.0913,53.9968,32.7356,55.7536,43.3164,35.7632,24.7744,58.0156,29.7972,56.3435,43.1158,33.0165,20.2838,61.2902,26.4968,57.168,43.3572,29.4921
"D5: Ratio×4, Precedent×2, Fact×1",37.1214,8,43.3718,68.6743,41.7882,234,43.8462,38.5096,34.5463,54.9089,46.2181,35.3549,40.6695,42.07,34.7661,54.4614,44.7399,36.4042,37.9731,44.3951,34.5584,54.0513,43.7728,36.8921,35.6838,46.4279,34.1361,53.7264,42.9049,37.0391,33.4283,48.0745,33.4733,53.2718,42.0518,36.6476,31.7949,49.5544,33.0194,53.2662,41.7549,36.4974,30.303,51.565,32.607,53.5577,41.5896,36.1781,24.7863,56.6483,29.6487,54.3365,41.4639,33.1302,20.0641,59.0057,26.0758,54.843,41.5799,29.2205
D4: Only Precedent+Ratio+Fact equal,36.1961,7,42.5249,68.6014,39.8991,234,42.906,38.3865,33.7593,54.2703,45.3584,34.5968,39.9573,41.5811,34.1564,53.7523,43.9728,35.7667,37.1795,44.119,33.9512,53.3272,42.8752,36.121,34.5085,45.9682,33.2844,52.7306,41.7345,35.8192,32.5736,47.5172,32.6993,52.4189,40.9943,35.7106,30.8974,49.6544,32.3454,52.562,40.7658,35.4673,29.1764,50.7986,31.582,52.5227,40.4733,34.833,24.0171,54.7878,28.7612,53.1394,40.3541,32.1021,19.765,58.5406,25.7397,54.1334,40.6205,28.7848
"D3: Precedent×3, Ratio×3, Fact×1, rest×0.5",27.7299,8,29.8966,56.3261,30.4731,234,32.4786,26.3608,24.1202,41.3713,34.0837,26.1888,29.9145,27.8077,23.9574,40.4176,32.5998,26.7772,28.2662,30.0482,24.3201,40.2434,31.7904,27.4614,26.656,31.645,24.1554,39.9198,30.9562,27.6684,25.1187,33.5017,23.9569,39.6957,30.2863,27.5377,23.547,34.1208,23.3145,39.3247,29.7635,27.0297,22.1057,35.032,22.6976,39.1357,29.3098,26.3915,18.0912,37.3922,20.739,39.0662,28.6928,24.1813,14.6581,39.3284,18.4098,39.3448,28.5274,21.3474
A8: Precedent only,27.4221,6,28.2765,61.5341,27.3733,216,34.0741,26.7586,24.9985,42.7655,33.9221,26.5992,31.5586,29.6081,25.3488,42.0582,32.3956,27.4221,28.7037,31.1033,24.7303,40.9625,30.7151,27.1335,26.5625,32.3188,24.2062,40.1618,29.5251,26.8814,24.8457,33.4413,23.8259,39.5343,28.5571,26.6042,23.3333,34.5333,23.3428,39.2604,27.9547,26.2022,21.8013,34.9797,22.5904,38.906,27.4274,25.4984,18.1481,38.8128,21.0739,39.3867,26.9737,23.8685,15.0694,41.5936,19.2144,40.0607,26.9461,21.6747
"D2: Precedent×2, Ratio×2, others×1",22.0061,8,22.6898,47.2369,22.1147,234,24.7863,20.3639,18.3659,31.4629,23.8921,19.9862,23.8604,22.853,19.2368,31.6243,23.2534,21.358,22.5885,24.7359,19.4935,31.5669,22.8337,21.9454,21.1538,25.7262,19.2159,31.2126,22.2587,21.9573,19.8006,26.868,18.8652,30.939,21.7602,21.7074,18.547,27.889,18.4442,30.7786,21.3885,21.2902,17.4437,28.7193,17.9691,30.681,21.1244,20.8256,14.7578,32.1098,16.9885,31.1742,20.987,19.7258,12.3932,34.4229,15.5689,31.7451,21.0509,18.0489
D1: Equal weight all roles,18.5538,11,19.3606,41.7267,18.9723,234,20.4274,16.6612,14.9632,26.1798,19.416,16.4714,19.5869,18.9702,15.8276,26.2848,18.8447,17.5327,18.5592,20.959,16.1102,26.3728,18.4077,18.0308,17.4145,21.7589,15.8705,26.1178,17.9858,18.076,16.5717,22.7566,15.8403,26.0422,17.6819,18.1676,16.0256,24.3786,16.0034,26.3235,17.5721,18.3959,15.5012,26.2224,16.1297,26.7098,17.5515,18.5065,13.1339,29.1222,15.2238,27.1675,17.4367,17.5552,11.0897,31.5056,13.999,27.7738,17.4942,16.1506
